intro,address,recomm_score,recomm_reason,name,full_address,gps,longitude,latitude,short_intro,level
大王庙大殿是一座位于扬州市的文物保护单位，大王庙也称为邗沟财神庙，原位于便益门北官河旁。相传大殿前的石炉无顶，投入香火会立即变成灰烬；炉下有一水窍，每当下雨时，水会流入其中不会枯竭，而且水中有一种色如银的沙粒，每年春天香火都非常旺盛，因此称之为财神胜会。在正月初五那天，会听到爆竹声和箫鼓声连续不断。大殿内有两联：“一殿两王天下少，庙门正北世间无”，形象地描绘了这座庙宇的独特之处。2007年，大王庙在古邗沟与古运河的交汇处北岸重建，地址为竹西路9号。复建后的大王庙是一组仿古建筑群，位于原邗沟大王庙遗址东北约500米处。大殿面向南方，挂着“恩被干吴”匾额。殿内神台上供奉着两位气宇轩昂的塑像，分别是吴王夫差和吴王刘濞。殿前有两副楹联：“曾以恩威遗德泽，不因成败论英雄”、“遗爱成神乡俗流传借元宝，降康祈福世风和顺享太平”，表达了扬州人民对两位吴王的感激之情。,扬州市邗江区竹西路9号,4,大王庙大殿是一座历史悠久的文物保护单位，具有深厚的文化内涵和历史价值。重建后的建筑群规模宏大，建筑风格古朴典雅，展示了扬州地区传统建筑文化的独特魅力。大殿内供奉着两位吴王的塑像，富有历史感，同时也表达了扬州人民对两位吴王的感激之情。此外，大王庙还与财神庙相关联，每年春节期间都有大量游客前来参拜祈福，营造出浓厚的民俗文化氛围。,大王庙大殿,扬州市邗江区竹西路9号，大王庙大殿,"119.451578,32.416850",119.451578,32.41685,大王庙大殿是一座位于扬州市的文物保护单位，大王庙也称为邗沟财神庙，原位于便益门北官河旁。相传大殿前的石炉无顶，投入香火会立即变成灰烬；炉下有一水窍，每当下雨时，水会流入其中不会枯竭，而且水中有一种色如银的沙粒，每年春天香火都非常旺盛，因此称之为财神胜会。在正月初五那天，会听到爆竹声和箫鼓声连续不断。大殿内有两联：“一殿两王天下少，庙门正北世间无”，形象地描绘了这座庙宇的独特之处。2007年，大王庙在古邗沟与古运河的交汇处北岸重建，地址为竹西路9号。复建后的大王庙是一组仿古建筑群，位于原邗沟大王庙遗址东北约500米处。大殿面向南方，挂着“恩被干吴”匾额。殿内神台上供奉着两位气宇轩昂的塑像，分别是吴王夫差和吴王刘濞。殿前有两副楹联：“曾以恩威遗德泽，不因成败论英雄”、“遗爱成神乡俗流传借元宝，降康祈福世风和顺享太平”，表达了扬州人民对两位吴王的感激之情。,市级文物
扬州御码头位于扬州市广陵区丰乐上街近天宁寺附近，是一个充满历史底蕴的古迹。在乾隆十八年，即公元1753年，扬州盐商于天宁寺西园兴建行宫，宫前建御码头，历经二百多年风雨，完好无损，坚固如初。这里不仅是乾隆水上游览线的起点，更是一个充满文化气息的古迹。乾隆皇帝曾在这里题诗：“小艇沿流画浆轻，鹿园钟磬有余音。门前一带邗沟水，脉脉常含万古情。”,扬州市广陵区丰乐上街近天宁寺附近,4,扬州御码头是一个历史悠久的景点，具有深厚的文化底蕴和重要的历史价值。这里的建筑和设施保存完好，能够让游客感受到历史的厚重和文化的独特魅力。此外，这里还有许多历史典故和传说，更加丰富了游客的游览体验。虽然御码头本身并没有特别显著的特色，但是它所代表的历史和文化价值使得它成为一个值得推荐的景点。,扬州御码头,扬州市广陵区丰乐上街近天宁寺附近，扬州御码头,"119.437910,32.401419",119.43791,32.401419,扬州御码头位于扬州市广陵区丰乐上街近天宁寺附近，是一个充满历史底蕴的古迹。在乾隆十八年，即公元1753年，扬州盐商于天宁寺西园兴建行宫，宫前建御码头，历经二百多年风雨，完好无损，坚固如初。这里不仅是乾隆水上游览线的起点，更是一个充满文化气息的古迹。乾隆皇帝曾在这里题诗：“小艇沿流画浆轻，鹿园钟磬有余音。门前一带邗沟水，脉脉常含万古情。”,全部景点
高邮御碑亭，位于江苏省扬州市高邮市，是一座文化旅游景点。在定慧寺天王殿前，一座木结构的古式方亭矗立，上盖琉璃瓦，亭中竖立一块石碑，上面碑文是乾隆皇帝的《游焦山歌》，背面是乾隆第三次来焦山时作的《游焦山作歌叠旧作韵》。因是皇帝手书刻碑建亭，所以称“御碑亭”。乾隆皇帝将金山、焦山两处风景加以比较，认为就山水本色来说，焦山更胜金山一筹。,江苏省扬州市高邮市,4,高邮御碑亭是乾隆皇帝亲笔题写碑文并建造的亭子，具有较高的历史价值和文化价值。此外，亭子的建筑风格古朴典雅，与周围的园林环境相得益彰。推荐游客前往参观。,高邮御碑亭,江苏省扬州市高邮市，高邮御碑亭,"119.459156,32.781666",119.459156,32.781666,高邮御碑亭，位于江苏省扬州市高邮市，是一座文化旅游景点。在定慧寺天王殿前，一座木结构的古式方亭矗立，上盖琉璃瓦，亭中竖立一块石碑，上面碑文是乾隆皇帝的《游焦山歌》，背面是乾隆第三次来焦山时作的《游焦山作歌叠旧作韵》。因是皇帝手书刻碑建亭，所以称“御碑亭”。乾隆皇帝将金山、焦山两处风景加以比较，认为就山水本色来说，焦山更胜金山一筹。,文物古迹
棣园，位于扬州市南河下26号723所内，始建于明代，清初增建，道光年间被称为棣园。光绪初年，它成为湖南会馆所有，现存建筑包括观戏厅和蝴蝶厅等。虽然该园子已被破坏严重，但其规模尚在。园内原有古戏台，1978年拆除，木构架由博物馆保存。此外，园中的水池和假山也被埋入土中。,扬州市南河下26号723所内,3,虽然棣园已被破坏严重，且历史建筑已被拆除，但整体规模尚在，仍然具有一定的历史和文化价值。因此，推荐指数为3分。,棣园,扬州市南河下26号723所内，棣园,"119.446810,32.383731",119.44681,32.383731,棣园，位于扬州市南河下26号723所内，始建于明代，清初增建，道光年间被称为棣园。光绪初年，它成为湖南会馆所有，现存建筑包括观戏厅和蝴蝶厅等。虽然该园子已被破坏严重，但其规模尚在。园内原有古戏台，1978年拆除，木构架由博物馆保存。此外，园中的水池和假山也被埋入土中。,市级文物
扬州玉器博物馆是一座致力于展示和弘扬中国玉器文化的博物馆。这里收藏了众多古代和现代的玉器精品，展示了扬州作为中国玉雕重点产区的独特地位。通过三个展区，观众可以深入了解扬州玉器的历史、工艺和区域性特点。简约的设计理念、合理的空间布局以及儒雅的视觉效果营造出舒适、安静的场所，为人们提供了一个全面、系统了解扬州玉器文化的平台。,未知,5,扬州玉器博物馆是一座极具文化价值的博物馆，其丰富的展品和深入的展示方式能够让人们全面了解中国玉器的历史和文化。博物馆的环境优雅，空间布局合理，是学习和欣赏中国玉器文化的理想场所。因此，我非常推荐扬州玉器博物馆。,扬州玉器博物馆,未知，扬州玉器博物馆,"119.442483,32.401803",119.442483,32.401803,扬州玉器博物馆是一座致力于展示和弘扬中国玉器文化的博物馆。这里收藏了众多古代和现代的玉器精品，展示了扬州作为中国玉雕重点产区的独特地位。通过三个展区，观众可以深入了解扬州玉器的历史、工艺和区域性特点。简约的设计理念、合理的空间布局以及儒雅的视觉效果营造出舒适、安静的场所，为人们提供了一个全面、系统了解扬州玉器文化的平台。,博物馆
"邹氏住宅是扬州市文物保护单位，位于史巷7号，是民国时期扬州盐业公会高级职员邹育梁的购旧宅为居所。这座建筑大门座西朝东，拥有砖雕门楼，进门为三间门厅，门厅南北侧各接轿厅两间。进庭院向西偏南为一道砖雕门，进门为一天井，座北朝南明三暗五大七架梁住宅，高大轩敞。住宅天井青石板铺地，堂屋青砖地墁保存基本完好，正房室内木地板,木板壁槅扇门窗保存完好。天井南座朝北四间厅房，厅房南原有花厅三间，现已改建为住房，但花厅结构未动，仍可见原建筑风貌。该住宅为清未民初保存较完好的大户之家居建筑，现为邹氏后裔居住。",扬州市广陵区史巷7号,4,邹氏住宅是保存较为完好的民国时期建筑，具有较高的历史价值和文化价值。其砖雕门楼、大七架梁住宅等建筑风格具有典型的扬州传统建筑特色，是了解和研究扬州历史文化的重要场所。,邹氏住宅,扬州市广陵区史巷7号，邹氏住宅,"119.435821,32.389266",119.435821,32.389266,"邹氏住宅是扬州市文物保护单位，位于史巷7号，是民国时期扬州盐业公会高级职员邹育梁的购旧宅为居所。这座建筑大门座西朝东，拥有砖雕门楼，进门为三间门厅，门厅南北侧各接轿厅两间。进庭院向西偏南为一道砖雕门，进门为一天井，座北朝南明三暗五大七架梁住宅，高大轩敞。住宅天井青石板铺地，堂屋青砖地墁保存基本完好，正房室内木地板,木板壁槅扇门窗保存完好。天井南座朝北四间厅房，厅房南原有花厅三间，现已改建为住房，但花厅结构未动，仍可见原建筑风貌。该住宅为清未民初保存较完好的大户之家居建筑，现为邹氏后裔居住。",市级文物
彩衣街张氏住宅是扬州市文物保护单位，位于彩衣街24号。这座住宅建于清末民初，是张安治先生的故居。张安治先生是中国画坛的重要人物，曾深得徐悲鸿器重，并应邀赴英国研究深造。他的作品多次在国内外展出，被广泛收藏。这座住宅是张氏家族的历史见证，也是中国画发展的重要遗产。,扬州市广陵区彩衣街24号,5,彩衣街张氏住宅具有重要的历史文化价值，不仅是扬州市文物保护单位，也是中国画坛的重要遗产。它的优点在于保存基本完好，具有较高的历史和文化价值。此外，张安治先生的作品和贡献也具有很高的艺术价值和历史意义。因此，我给予这个景点5分的推荐指数。,彩衣街张氏住宅,扬州市广陵区彩衣街24号，彩衣街张氏住宅,"119.442226,32.396068",119.442226,32.396068,彩衣街张氏住宅是扬州市文物保护单位，位于彩衣街24号。这座住宅建于清末民初，是张安治先生的故居。张安治先生是中国画坛的重要人物，曾深得徐悲鸿器重，并应邀赴英国研究深造。他的作品多次在国内外展出，被广泛收藏。这座住宅是张氏家族的历史见证，也是中国画发展的重要遗产。,市级文物
愿生寺，现为扬州市文物保护单位，位于扬州市区埂子街146号。这座寺庙的建立，源于一段感人的故事。民国初年，为了纪念扬州八大盐商之一的肖裕丰，人们在此修建了愿生寺。解放初期，唯生阁被拆除，而寺内的佛像也被迁往江西的聚山。现存的建筑包括山门、大殿、藏经楼、后殿、两厢廊房以及明代楠木厅。走进这座古老的寺庙，仿佛可以听到历史的回音，感受那份久远的历史情怀。,扬州市邗江区埂子街146号,4,愿生寺历史悠久，有着深厚的历史底蕴。其建筑风格古朴典雅，楠木厅等建筑保存完好，可以感受到历史的沉淀。此外，愿生寺还与肖裕丰等历史人物有关，有着丰富的历史文化内涵。因此，我给予愿生寺4分的推荐分数。,愿生寺,扬州市邗江区埂子街146号，愿生寺,"119.439371,32.387565",119.439371,32.387565,愿生寺，现为扬州市文物保护单位，位于扬州市区埂子街146号。这座寺庙的建立，源于一段感人的故事。民国初年，为了纪念扬州八大盐商之一的肖裕丰，人们在此修建了愿生寺。解放初期，唯生阁被拆除，而寺内的佛像也被迁往江西的聚山。现存的建筑包括山门、大殿、藏经楼、后殿、两厢廊房以及明代楠木厅。走进这座古老的寺庙，仿佛可以听到历史的回音，感受那份久远的历史情怀。,市级文物
逸圃，位于江苏省扬州市东关街356号，是民国初年钱业经纪人李鹤生所筑的住宅园林。园子巧妙地利用曲尺形隙地布设，形成上下错综、境界多变的布局。园内曾有假山、半亭、碧潭、复道廊等景观，后虽已不存，但仍保留着精美的外廊天花和紫藤老干，给人留下深刻印象。,江苏省扬州市东关街356号,4,逸圃是一座历史悠久的园林，具有独特的设计风格和精美的建筑装饰。虽然有些景观已不存，但仍能感受到它曾经的辉煌和精致。此外，扬州的传统文化和建筑风格也为其增色不少。因此，我给逸圃4分的高分，它是一个值得一游的景点。,逸圃,江苏省扬州市东关街356号，逸圃,"119.442798,32.397792",119.442798,32.397792,逸圃，位于江苏省扬州市东关街356号，是民国初年钱业经纪人李鹤生所筑的住宅园林。园子巧妙地利用曲尺形隙地布设，形成上下错综、境界多变的布局。园内曾有假山、半亭、碧潭、复道廊等景观，后虽已不存，但仍保留着精美的外廊天花和紫藤老干，给人留下深刻印象。,全国文物
中国大运河文化展示馆位于江苏省扬州市的京杭国际会议中心内，总面积约855平方米。这个展示馆通过《源远流长——中国大运河文化展》全面展示了中国大运河沿途35座城市的历史文化和人文风情，重点突出了扬州在运河史中的历史地位和重要作用。展览分为历史篇、航运篇、交流篇、城市篇、遗产篇、申遗篇等六部分，运用了丰富的色彩、灯光、vr技术、地面投影互动等手段，让观众能够深入体验和了解大运河文化的魅力。,江苏省扬州市广陵新城京杭水湾范围内,4,中国大运河文化展示馆是一个全面展示中国大运河文化的场所，具有较高的历史和文化价值。其展览内容丰富，形式多样，运用了多种现代化的展示手段，增强了观众的互动和体验。同时，该景点已成为扬州的一张城市名片，为扬州与世界各地的运河城市加强交流、互通有无、共谋发展做出了重要贡献。,中国大运河文化展示馆,江苏省扬州市广陵新城京杭水湾范围内，中国大运河文化展示馆,"119.558135,32.373154",119.558135,32.373154,中国大运河文化展示馆位于江苏省扬州市的京杭国际会议中心内，总面积约855平方米。这个展示馆通过《源远流长——中国大运河文化展》全面展示了中国大运河沿途35座城市的历史文化和人文风情，重点突出了扬州在运河史中的历史地位和重要作用。展览分为历史篇、航运篇、交流篇、城市篇、遗产篇、申遗篇等六部分，运用了丰富的色彩、灯光、vr技术、地面投影互动等手段，让观众能够深入体验和了解大运河文化的魅力。,全部景点
